,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude,Date
0,vaini,82.56,83,20,11.5,-21.2,-175.2,1638567362
1,saleaula,,,,,,,
2,korla,25.41,52,65,2.73,41.7597,86.1469,1638567364
3,belaya gora,-19.59,97,100,2.37,68.5333,146.4167,1638567365
4,cidreira,68.83,77,43,19.86,-30.1811,-50.2056,1638567366
5,saint-philippe,74.98,85,14,8.77,-21.3585,55.7679,1638567367
6,norman wells,-34.56,67,20,2.3,65.282,-126.8329,1638567368
7,tsihombe,,,,,,,
8,puerto narino,80.55,87,97,2.91,-3.7703,-70.3831,1638567370
9,busselton,53.04,76,1,11.88,-33.65,115.3333,1638567371
10,nikolskoye,20.95,95,100,6.91,59.7035,30.7861,1638567372
11,aberdeen,39.85,90,100,6.91,57.1437,-2.0981,1638567373
12,sur,72.99,57,0,7.27,22.5667,59.5289,1638567374
13,male,82.35,83,75,8.05,4.1748,73.5089,1638567376
14,isangel,84.31,70,40,0,-19.55,169.2667,1638567377
15,lebu,55.83,77,0,19.06,-37.6167,-73.65,1638567378
16,ankazoabo,77.58,53,0,4.45,-22.2833,44.5167,1638567379
17,illoqqortoormiut,,,,,,,
18,cobija,89.78,66,75,3.44,-11.0267,-68.7692,1638567381
19,mataura,61.48,99,100,3.62,-46.1927,168.8643,1638567382
20,longyearbyen,33.64,64,40,20.71,78.2186,15.6401,1638567383
21,mullaitivu,,,,,,,
22,havre-saint-pierre,26.92,68,90,19.57,50.2334,-63.5986,1638567385
23,port alfred,64.15,76,100,6.82,-33.5906,26.891,1638567386
24,mar del plata,61.07,91,90,10,-38.0023,-57.5575,1638567122
25,hilo,79.27,73,20,3.44,19.7297,-155.09,1638567388
26,bluff,61.81,95,100,4.5,-46.6,168.3333,1638567389
27,general roca,66.61,42,96,10.74,-39.0333,-67.5833,1638567390
28,tolbazy,32.76,98,100,12.59,54.0241,55.8825,1638567391
29,butaritari,82.11,73,75,12.66,3.0707,172.7902,1638567393
30,punta arenas,55.51,47,75,27.63,-53.15,-70.9167,1638567394
31,coquimbo,64.13,67,20,13.8,-29.9533,-71.3436,1638567395
32,skalistyy,,,,,,,
33,grand river south east,,,,,,,
34,dese,47.52,69,0,1.03,11.1333,39.6333,1638567398
35,jati,69.3,27,0,7.43,24.3539,68.2671,1638567399
36,hermanus,61.81,74,42,11.5,-34.4187,19.2345,1638567400
37,hamilton,57.18,53,1,1.01,39.1834,-84.5333,1638567401
38,new norfolk,50.45,57,90,5.01,-42.7826,147.0587,1638567402
39,baruun-urt,21.87,59,2,9.26,46.6806,113.2792,1638567403
40,dudinka,-23.39,93,100,17.07,69.4058,86.1778,1638567404
41,ponta do sol,62.85,69,64,9.33,32.6667,-17.1,1638567405
42,vila franca do campo,63.19,76,23,2.3,37.7167,-25.4333,1638567406
43,attawapiskat,,,,,,,
44,atuona,78.85,72,7,16.69,-9.8,-139.0333,1638567408
45,mumford,80.98,85,46,9.17,5.2618,-0.759,1638567409
46,aguas vermelhas,66.63,99,84,4.03,-15.7472,-41.46,1638567411
47,cape town,61.39,65,20,5.99,-33.9258,18.4232,1638567412
48,puerto ayora,78.76,83,82,9.22,-0.7393,-90.3518,1638567413
49,albany,32.41,51,1,1.01,42.6001,-73.9662,1638567414
50,porbandar,71.89,51,1,10.36,21.6422,69.6093,1638567415
51,shieli,40.3,50,100,14.45,44.1667,66.75,1638567416
52,augustow,31.89,96,93,10.65,53.8432,22.9798,1638567417
53,balykshi,33.8,86,90,11.18,47.0667,51.8667,1638567419
54,carnarvon,69.87,83,40,14.97,-24.8667,113.6333,1638567162
55,barrow,-16.58,76,1,21.85,71.2906,-156.7887,1638567301
56,te anau,57.78,99,100,1.43,-45.4167,167.7167,1638567251
57,ushuaia,56.86,38,75,17.27,-54.8,-68.3,1638567422
58,skibbereen,46.2,82,47,21.09,51.55,-9.2667,1638567423
59,lavrentiya,12.54,95,100,11.65,65.5833,-171,1638567424
60,asau,34.38,82,100,2.21,46.4333,26.4,1638567426
61,listvyagi,33.33,80,98,13.65,53.6772,86.951,1638567427
62,avarua,80.65,83,20,6.91,-21.2078,-159.775,1638567428
63,veraval,71.1,58,1,9.33,20.9,70.3667,1638567180
64,obigarm,44.73,36,100,4.88,38.7173,69.7088,1638567430
65,hithadhoo,81.03,79,7,10.78,-0.6,73.0833,1638567431
66,payson,51.93,50,1,3.44,40.0444,-111.7321,1638567432
67,carnot,74.1,77,73,1.5,4.9409,15.8665,1638567433
68,valleyview,24.84,63,70,4.61,55.0667,-117.2859,1638567434
69,san cristobal,80.78,62,17,1.68,7.7669,-72.225,1638567417
70,srednekolymsk,-14.94,96,100,14.81,67.45,153.6833,1638567436
71,kaeo,70.32,83,100,8.37,-35.1,173.7833,1638567437
72,saskylakh,-21.51,95,100,11.83,71.9167,114.0833,1638567438
73,castro,65.55,79,40,8.61,-24.7911,-50.0119,1638567439
74,bredasdorp,61.29,71,92,6.62,-34.5322,20.0403,1638567253
75,sinjah,,,,,,,
76,mys shmidta,,,,,,,
77,aswan,67.3,37,0,8.05,24.0934,32.907,1638567443
78,murray bridge,58.42,58,10,13,-35.1167,139.2667,1638567444
79,staropesterevo,28.29,80,51,14.54,54.5001,86.4094,1638567445
80,deniliquin,60.35,44,0,13.78,-35.5333,144.9667,1638567446
81,jamestown,35.51,80,90,5.99,42.097,-79.2353,1638567295
82,severo-kurilsk,38.68,92,100,13.76,50.6789,156.125,1638567261
83,esperance,53.44,76,0,11.23,-33.8667,121.9,1638567449
84,billings,37.17,75,75,6.91,45.7833,-108.5007,1638567293
85,taolanaro,,,,,,,
86,kruisfontein,56.88,84,100,2.48,-34.0033,24.7314,1638567452
87,amderma,,,,,,,
88,kaitangata,59.2,97,100,5.55,-46.2817,169.8464,1638567454
89,yafran,43.21,78,57,14.41,32.0633,12.5286,1638567455
90,barentsburg,,,,,,,
91,lorengau,84,75,60,7.92,-2.0226,147.2712,1638567457
92,nanortalik,28.35,59,98,11.34,60.1432,-45.2371,1638567458
93,mount gambier,55.31,82,90,4.61,-37.8333,140.7667,1638567459
94,chokurdakh,-21.28,94,100,13.71,70.6333,147.9167,1638567460
95,nome,6.87,85,90,27.63,64.5011,-165.4064,1638567462
96,kapaa,70.61,79,75,5.01,22.0752,-159.319,1638567463
97,yellowknife,-11.42,87,75,5.01,62.456,-114.3525,1638567464
98,aranos,71.15,68,99,8.7,-24.1333,19.1167,1638567465
99,codrington,58.82,68,91,15.73,-38.2667,141.9667,1638567466
100,nouadhibou,66.18,72,6,16.11,20.931,-17.0347,1638567467
101,sawtell,75.22,78,0,9.22,-30.3833,153.1,1638567468
102,skeldon,76.98,85,99,6.51,5.8833,-57.1333,1638567470
103,clarence town,69.42,91,99,2.75,-32.5833,151.7833,1638567471
104,nizhneyansk,,,,,,,
105,bolungarvik,,,,,,,
106,tuktoyaktuk,-20.2,76,20,9.22,69.4541,-133.0374,1638567473
107,san patricio,80.26,57,1,11.72,28.017,-97.5169,1638567475
108,sisimiut,19.2,70,100,21.56,66.9395,-53.6735,1638567476
109,tasiilaq,23.16,58,76,7.38,65.6145,-37.6368,1638567477
110,kodiak,11.71,79,1,4.61,57.79,-152.4072,1638567478
111,mattru,76.33,93,80,1.25,7.6244,-11.8332,1638567479
112,mitu,75.88,95,100,2.77,1.1983,-70.1733,1638567480
113,saint-joseph,73.99,84,8,7.63,-21.3667,55.6167,1638567481
114,togur,23.29,87,99,14.52,58.3631,82.8265,1638567482
115,mendi,60.58,88,93,0.76,-6.1761,143.6513,1638567483
116,rikitea,76.51,75,73,15.28,-23.1203,-134.9692,1638567260
117,andselv,,,,,,,
118,saint anthony,40.08,81,75,1.99,45.0205,-93.218,1638567486
119,nyagan,14.09,91,99,8.43,62.1406,65.3936,1638567488
120,amot,17.76,95,100,2.59,59.5714,7.9877,1638567489
121,christchurch,73.6,49,40,4.61,-43.5333,172.6333,1638567207
122,cayenne,77.09,91,89,3.44,4.9333,-52.3333,1638567491
123,bathsheba,83.01,74,40,12.66,13.2167,-59.5167,1638567400
124,upernavik,13.59,78,49,8.59,72.7868,-56.1549,1638567255
125,meulaboh,75.69,84,99,3.74,4.1363,96.1285,1638567493
126,east london,64.15,74,99,7.87,-33.0153,27.9116,1638567412
127,bethel,39.69,51,1,1.99,41.3712,-73.414,1638567495
128,praya,73.94,73,20,19.57,14.9215,-23.5087,1638567496
129,garissa,78.94,74,88,9.4,-0.4536,39.6401,1638567498
130,dingle,72.3,92,88,7.74,10.9995,122.6711,1638567499
131,bowen,79.02,71,10,10.16,-20.0167,148.2333,1638567500
132,lompoc,55.81,84,90,6.91,34.6391,-120.4579,1638567501
133,solnechnyy,-6.54,98,46,2.21,50.7214,136.6319,1638567502
134,jaipur hat,,,,,,,
135,vanimo,79.65,87,71,2.75,-2.6741,141.3028,1638567504
136,seoul,22.86,83,0,2.3,37.5683,126.9778,1638567312
137,tumannyy,,,,,,,
138,phuket,79.02,78,40,8.05,8,98.25,1638567507
139,pangnirtung,17.6,67,90,4.61,66.1451,-65.7125,1638567508
140,ahipara,67.23,81,100,9.04,-35.1667,173.1667,1638567509
141,chuy,65.66,75,75,9.78,-33.6971,-53.4616,1638567510
142,geraldton,66.61,63,0,12.66,-28.7667,114.6,1638567511
143,bambanglipuro,77.63,86,98,4.76,-7.95,110.2833,1638567512
144,potgietersrus,,,,,,,
145,crab hill,,,,,,,
146,stepnogorsk,19.76,89,19,18.48,52.3544,71.8869,1638567515
147,sainte-martine,23.52,52,0,10.36,45.2501,-73.7992,1638567516
148,yerbogachen,27.34,96,100,12.17,61.2767,108.0108,1638567517
149,ariquemes,79.2,80,99,2.55,-9.9133,-63.0408,1638567519
150,margate,44.42,93,100,4.63,51.3813,1.3862,1638567520
151,cabo san lucas,86.56,57,1,1.01,22.8909,-109.9124,1638567233
152,mumbwa,72.93,44,31,5.26,-14.9783,27.0619,1638567522
153,meadow lake,63.7,22,4,4.83,34.8014,-106.5436,1638567523
154,malwan,,,,,,,
155,komsomolskiy,39.9,56,100,6.91,40.4272,71.7189,1638567525
156,la macarena,83.1,65,99,4.52,2.1837,-73.7849,1638567526
157,ucluelet,43.61,85,74,1.3,48.9329,-125.5528,1638567527
158,fairbanks,-27.74,73,1,0,64.8378,-147.7164,1638567388
159,darnah,63.82,42,100,12.1,32.767,22.6367,1638567529
160,ilulissat,15.82,62,20,32.21,69.2167,-51.1,1638567530
161,malanje,63.84,97,100,3.27,-9.5402,16.341,1638567531
162,atar,69.51,26,84,9.55,20.5169,-13.0499,1638567532
